cosmology,h,omega_m,omega_b,log10_mass_hinv,redshift,x,ne_native_m3,ne_paper_m3,n200_paper_m3,native_factor
HalfDome,0.68,0.31,0.049,13.2,0.0,0.07172225205298974,1448.1758068191277,2407.08044901363,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.07318103306634417,1435.3474912967583,2385.7579083785276,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.0746694846768147,1422.5513300700632,2364.488812895667,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.0761882103638305,1409.7869010716377,2343.2724610271603,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.07773782588117499,1397.0537934045165,2322.108169802027,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.07931895950663795,1384.3516076867945,2300.9952753890025,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.08093225229674476,1371.6799564042233,2279.933133682609,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.0825783583466674,1359.038464270672,2258.921120902291,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.08425794505542122,1346.4267685964862,2237.9586342046837,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.08597169339645627,1333.8445196646394,2217.045092308832,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.08772029819375156,1321.2913811146561,2196.179936134325,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.08950446840352538,1308.7670303342081,2175.3626294521873,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.09132492740167533,1296.2711588582617,2154.5926595483234,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.09318241327706454,1283.803472775714,2133.8695378994,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.09507767913077335,1271.3636931433236,2113.192800860866,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.0970114933814372,1258.9515564068276,2092.5620103669103,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.09898464007679533,1246.566814829046,2071.976754642024,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.1009979192115758,1234.2092369247614,2051.4366489238505,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.10305214705184633,1221.8786079022027,2030.941336196983,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.10514815646596198,1209.5747301108152,2010.4904879372305,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.10728679726224426,1197.2974234951287,1990.0838048660123,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.10946893653352839,1185.046526054334,1969.7210177142372,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.11169545900871822,1172.8218943073268,1949.401887995281,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.11396726741149178,1160.623403762807,1929.1262087863554,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.11628528282630253,1148.4509493940827,1908.8938055177055,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.11865044507182472,1136.3044461181275,1888.7045367688715,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.12106371308199473,1124.1838292784741,1868.558295071326,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,0.123526065294802,1112.0890551314537,1848.4550077166818,215.99585198237747,0.6016316602183194
