panel,curve,x,x3_ne_over_n200
0,simulation,0.18348400828945466,0.04328543221910297
0,simulation,0.1899865164566245,0.04663502097031403
0,simulation,0.19671946766271803,0.050692214702802045
0,simulation,0.2036910286016974,0.054993461851701134
0,simulation,0.21090965538781115,0.059786739252508686
0,simulation,0.21838410381238835,0.06488281160440308
0,simulation,0.22612343996412504,0.07034645395166361
0,simulation,0.2341370512257435,0.0756059391536637
0,simulation,0.2424346576603636,0.08152896434924789
0,simulation,0.2510263238013967,0.08892916977522147
0,simulation,0.2599224708602629,0.09493504188405189
0,simulation,0.2691338893667386,0.10332436776520292
0,simulation,0.2786717522572671,0.11180715757468314
0,simulation,0.28854762842710635,0.12100258538483949
0,simulation,0.2987734967627535,0.1307320951818019
0,simulation,0.3093617606716653,0.1407005512098077
0,simulation,0.320325263126899,0.15174251766722652
0,simulation,0.33167730224492176,0.1640910157209751
0,simulation,0.34343164741548354,0.17699057161114815
0,simulation,0.3556025560031184,0.1909720965984972
0,simulation,0.3682047906405315,0.20690389156387584
0,simulation,0.3812536371348488,0.22152376898821097
0,simulation,0.39476481238703337,0.23794898655015936
0,simulation,0.4087549221551199,0.25603864774459656
0,simulation,0.4232408288260246,0.2752411187442963
0,simulation,0.4382401029958986,0.29497623000270445
0,simulation,0.45377093794701173,0.3164400631237251
0,simulation,0.4698521717151884,0.340239852629058
0,simulation,0.48650330993929325,0.3638609234086957
0,simulation,0.5037445495204826,0.3884169260814527
0,simulation,0.5215968031199181,0.4153353454919219
0,simulation,0.5400817245246565,0.4433058153088688
0,simulation,0.5592217349124862,0.47455026925014404
0,simulation,0.5790400500475623,0.5038281575427415
0,simulation,0.5995607084398344,0.5367912753191574
0,simulation,0.6208086005024162,0.5700405225168204
0,simulation,0.642809498742267,0.602711639073371
0,simulation,0.6655900890208052,0.6344150633841185
0,simulation,0.689178002922367,0.6710395327071458
0,simulation,0.7136018512697767,0.7082547020831154
0,simulation,0.7388912588276775,0.7457423294382494
0,simulation,0.765076900235717,0.7868580025726094
0,simulation,0.7921905372151729,0.8241836606730855
0,simulation,0.8202650570941481,0.8646972714627188
0,simulation,0.8493345126980636,0.9042398031421864
0,simulation,0.8794341636538346,0.9443196964410767
0,simulation,0.9106005191578306,0.9828411716012758
0,simulation,0.942871382259491,1.025273259113544
0,simulation,0.9762858957143153,1.062595222816417
0,simulation,1.01088458946184,1.1013805963496384
0,simulation,1.0467094297861916,1.1412957797357792
0,simulation,1.0838038702188493,1.1743869656179375
0,simulation,1.12221290424535,1.208554140358021
0,simulation,1.1619831198798762,1.2434179192614767
0,simulation,1.2031627561739164,1.276662806981667
0,simulation,1.2458017617275419,1.300929172497885
0,simulation,1.2899518552742695,1.3221851057695522
0,simulation,1.335666588412999,1.3413085047596731
0,simulation,1.3830014105631132,1.3659446704485028
0,simulation,1.4320137362215284,1.386535908169999
0,simulation,1.4827625991019664,1.4015683477675507
0,with_c_bpl,0.04249783615797887,0.0011378351768435773
0,with_c_bpl,0.04400392123471406,0.0012465414980497708
0,with_c_bpl,0.04556337741954023,0.0013654991464804615
0,with_c_bpl,0.047178102520416675,0.0014956572226682773
0,with_c_bpl,0.048850052026046795,0.001638048499047567
0,with_c_bpl,0.05058125391784839,0.0017938004311347496
0,with_c_bpl,0.05237380804707604,0.001964140472996587
0,with_c_bpl,0.0542298886818235,0.0021504056217362057
0,with_c_bpl,0.0561517471442895,0.002354048869637089
0,with_c_bpl,0.05814171454150591,0.0025766560416747015
0,with_c_bpl,0.060202204592840425,0.0028199482141846623
0,with_c_bpl,0.06233571655770344,0.0030857970025831814
0,with_c_bpl,0.06454483826701019,0.003376241287169616
0,with_c_bpl,0.06683224926207516,0.003693493408598315
0,with_c_bpl,0.0692007240447462,0.00403995438104949
0,with_c_bpl,0.07165313544272028,0.004418233857483718
0,with_c_bpl,0.07419245809412323,0.00483116497121066
0,with_c_bpl,0.07682176129204271,0.005281819051620337
0,with_c_bpl,0.07954425539316265,0.005773523437820714
0,with_c_bpl,0.08236323223570861,0.006309888189595839
0,with_c_bpl,0.08528211108122806,0.006894825240827978
0,with_c_bpl,0.08830443236682124,0.007532557707934936
0,with_c_bpl,0.0914338619994938,0.008227664203966298
0,with_c_bpl,0.0946741958026973,0.008985103587110245
0,with_c_bpl,0.09802936412045123,0.009810208779724494
0,with_c_bpl,0.10150343658463085,0.010708763426230264
0,with_c_bpl,0.10510062705120354,0.011687000111599693
0,with_c_bpl,0.10882529871140077,0.012751619420635464
0,with_c_bpl,0.11268196938402557,0.013909892060675576
0,with_c_bpl,0.1166753169953145,0.015169593727786068
0,with_c_bpl,0.12081018525300107,0.0165391295321852
0,with_c_bpl,0.12509158952146282,0.018027500061436164
0,with_c_bpl,0.12952472290507838,0.019644372933970134
0,with_c_bpl,0.1341149625471731,0.021400204477141783
0,with_c_bpl,0.13886787615219376,0.023306055773629552
0,with_c_bpl,0.14378922873902336,0.025373915099072816
0,with_c_bpl,0.1488849687732767,0.02761653142041735
0,with_c_bpl,0.15416131810988917,0.030047533847626567
0,with_c_bpl,0.15962465651968585,0.03268147832643492
0,with_c_bpl,0.16528161072718012,0.03553389521187654
0,with_c_bpl,0.17113904230203986,0.038621289168891
0,with_c_bpl,0.17720405598178843,0.041961272091491635
0,with_c_bpl,0.18348400828945466,0.04557240299770225
0,with_c_bpl,0.1899865164566245,0.04947453510986494
0,with_c_bpl,0.19671946766271803,0.05368852812506296
0,with_c_bpl,0.2036910286016974,0.058236574044942396
0,with_c_bpl,0.21090965538781115,0.06314189518523357
0,with_c_bpl,0.21838410381238835,0.06842902557291759
