shape_index,x,previous_h,smooth_h,previous_dh_dx,smooth_dh_dx,physical_y_over_A
0.000000000000000000e+00,3.072000000000000064e+00,7.726249943638036121e-05,7.726249943638036121e-05,-7.060357851351771810e-05,-7.060357851351771810e-05,3.958620443955825053e-04
0.000000000000000000e+00,3.076000000000000068e+00,7.698078377992900506e-05,7.698078377992900506e-05,-7.025460792006217202e-05,-7.025460792006217202e-05,3.936789756023620877e-04
0.000000000000000000e+00,3.080000000000000071e+00,7.670045971781807431e-05,7.670045971781807431e-05,-6.990777873237686148e-05,-6.990777873237686148e-05,3.915060747886024641e-04
0.000000000000000000e+00,3.084000000000000075e+00,7.642151871566752494e-05,7.642151871566752494e-05,-6.956307535093002900e-05,-6.956307535093002900e-05,3.893432707038410731e-04
0.000000000000000000e+00,3.088000000000000078e+00,7.614395230123253283e-05,7.614395230123253283e-05,-6.922048230737397540e-05,-6.922048230737397540e-05,3.871904925388710552e-04
0.000000000000000000e+00,3.092000000000000082e+00,7.586775206388159955e-05,7.586775206388159955e-05,-6.887998426329626218e-05,-6.887998426329626218e-05,3.850476699207342444e-04
0.000000000000000000e+00,3.096000000000000085e+00,7.559290965407881868e-05,7.559290965407881868e-05,-6.854156600898397855e-05,-6.854156600898397855e-05,3.829147329077319949e-04
0.000000000000000000e+00,3.099999999999999645e+00,7.531941678287199687e-05,7.531941678287199687e-05,-6.820521246220133057e-05,-6.820521246220133057e-05,3.807916119844636008e-04
0.000000000000000000e+00,3.104000000000000092e+00,7.504726522138469155e-05,7.504726522138469155e-05,-6.787090866697972577e-05,-6.787090866697972577e-05,3.786782380568787568e-04
0.000000000000000000e+00,3.107999999999999652e+00,7.477644680031410339e-05,7.477644680031410339e-05,-6.753863979242158639e-05,-6.753863979242158639e-05,3.765745424473576652e-04
0.000000000000000000e+00,3.112000000000000099e+00,7.450695340943257368e-05,7.450695340943257368e-05,-6.720839113151557396e-05,-6.720839113151557396e-05,3.744804568898012264e-04
0.000000000000000000e+00,3.115999999999999659e+00,7.423877699709490927e-05,7.423877699709490927e-05,-6.688014809996556962e-05,-6.688014809996556962e-05,3.723959135247478466e-04
0.000000000000000000e+00,3.120000000000000107e+00,7.397190956974936680e-05,7.397190956974936680e-05,-6.655389623503086237e-05,-6.655389623503086237e-05,3.703208448944996780e-04
0.000000000000000000e+00,3.123999999999999666e+00,7.370634319145424754e-05,7.370634319145424754e-05,-6.622962119437971374e-05,-6.622962119437971374e-05,3.682551839382728742e-04
0.000000000000000000e+00,3.128000000000000114e+00,7.344206998339796182e-05,7.344206998339796182e-05,-6.590730875495379149e-05,-6.590730875495379149e-05,3.661988639873546211e-04
0.000000000000000000e+00,3.131999999999999673e+00,7.317908212342473116e-05,7.317908212342473116e-05,-6.558694481184574937e-05,-6.558694481184574937e-05,3.641518187602834798e-04
0.000000000000000000e+00,3.136000000000000121e+00,7.291737184556374644e-05,7.291737184556374644e-05,-6.526851537718743193e-05,-6.526851537718743193e-05,3.621139823580346606e-04
0.000000000000000000e+00,3.139999999999999680e+00,7.265693143956359788e-05,7.265693143956359788e-05,-6.495200657905092728e-05,-6.495200657905092728e-05,3.600852892592256273e-04
0.000000000000000000e+00,3.144000000000000128e+00,7.239775325043045916e-05,7.239775325043045916e-05,-6.463740466035997382e-05,-6.463740466035997382e-05,3.580656743153264173e-04
0.000000000000000000e+00,3.147999999999999687e+00,7.213982967797092001e-05,7.213982967797092001e-05,-6.432469597781364568e-05,-6.432469597781364568e-05,3.560550727458853572e-04
0.000000000000000000e+00,3.152000000000000135e+00,7.188315317633884390e-05,7.188315317633884390e-05,-6.401386700082078529e-05,-6.401386700082078529e-05,3.540534201337606330e-04
0.000000000000000000e+00,3.155999999999999694e+00,7.162771625358709112e-05,7.162771625358709112e-05,-6.370490431044613171e-05,-6.370490431044613171e-05,3.520606524203651966e-04
0.000000000000000000e+00,3.160000000000000142e+00,7.137351147122242669e-05,7.137351147122242669e-05,-6.339779459836645083e-05,-6.339779459836645083e-05,3.500767059009123224e-04
