beta,P0_lower,P0_upper
5.210813535372236238e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.217086167116010031e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.223358798859783825e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.229631430603557618e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.235904062347331411e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.242176694091105205e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.248449325834878998e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.254721957578652791e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.260994589322426584e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.267267221066200378e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.273539852809974171e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.279812484553747964e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.286085116297521758e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.292357748041295551e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.298630379785069344e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.304903011528843138e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.311175643272616931e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.317448275016390724e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.323720906760164517e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.329993538503938311e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.336266170247712992e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.342538801991485897e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.348811433735260579e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.355084065479033484e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.361356697222808165e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.367629328966581070e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.373901960710355752e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.380174592454128657e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.386447224197903338e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.392719855941676244e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.398992487685450925e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.405265119429223830e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.411537751172998512e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.417810382916772305e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.424083014660546098e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.430355646404319891e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.436628278148093685e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.442900909891867478e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.449173541635641271e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.455446173379415065e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.461718805123188858e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.467991436866962651e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.474264068610736444e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.480536700354510238e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.486809332098284031e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.493081963842057824e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.499354595585831618e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.505627227329605411e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.511899859073379204e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.518172490817153886e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.524445122560926791e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.530717754304701472e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.536990386048474377e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.543263017792249059e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.549535649536021964e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.555808281279796645e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.562080913023569551e+00,1.000000000000000000e+00,6.000000000000000000e+01
