case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
slow_fit_trial,1.0e14,1.0,100.0,0.039305778754191514,437,4.85536024325131e-13,3.313071656339777e-27,171,8.426154068081133e-13,-60.97192175891754,true
slow_fit_trial,1.0e14,1.0,10000.0,3.9305778754191514,209,3.073819453399839e-13,1.986688145290548e-58,95,5.732868635446635e-11,-132.86346638991608,true
slow_fit_trial,1.0e14,1.0,1.0e6,393.05778754191516,19,0.0,1.8500325135142826e-90,19,2.567749207661059e-15,-206.61745515565573,true
slow_fit_trial,1.0e14,1.0,1.0e8,39305.77875419152,19,0.0,5.79929219562346e-124,19,1.0842052006433273e-14,-283.7628156563935,true
slow_fit_trial,1.0e14,5.0,0.003,5.44481503720456e-7,969,2.4119124051209927e-14,1.096674418543784e-5,247,2.144223953371051e-11,-11.420643120305083,false
slow_fit_trial,1.0e14,5.0,0.1,1.8149383457348534e-5,779,2.7501274450533117e-14,9.501692081617375e-6,171,2.4006618689346456e-11,-11.564040661363709,false
slow_fit_trial,1.0e14,5.0,1.0,0.00018149383457348534,665,4.132233675024557e-14,2.7564586108886597e-6,171,3.671266789360134e-12,-12.801563814125117,false
slow_fit_trial,1.0e14,5.0,4.0,0.0007259753382939414,589,6.495932372357933e-13,4.3696285379208926e-8,133,4.7977962541422687e-11,-16.946002741221907,false
slow_fit_trial,1.0e14,5.0,100.0,0.018149383457348536,475,4.44314772707144e-13,3.318013394073389e-34,171,1.3409655016429634e-11,-77.08852693324621,true
slow_fit_trial,1.0e14,5.0,10000.0,1.8149383457348534,209,2.7197628734555295e-13,3.755134606690509e-116,133,3.0836104054429828e-12,-265.7767466554147,true
slow_fit_trial,1.0e14,5.0,1.0e6,181.49383457348534,19,4.0007241749899703e-16,6.902474851900551e-203,19,3.1299663944761436e-15,-465.4928938563078,true
slow_fit_trial,1.0e14,5.0,1.0e8,18149.383457348533,19,1.0426268329172977e-15,2.496416678133368e-291,19,8.673681328454225e-16,-669.1374056863382,true
slow_fit_trial,5.011872336272715e15,0.1,0.003,2.6707446292773567e-5,969,2.583881399026246e-14,0.0005800492068595682,171,3.641407948806993e-12,-7.452397618609419,false
slow_fit_trial,5.011872336272715e15,0.1,0.1,0.0008902482097591189,779,1.4250595667923757e-13,0.00012335625713429788,133,1.5336830397132302e-11,-9.000433989609082,false
slow_fit_trial,5.011872336272715e15,0.1,1.0,0.008902482097591188,703,1.5022007186534203e-13,1.0978393271419598e-8,171,7.149917391578049e-13,-18.32733674386594,false
slow_fit_trial,5.011872336272715e15,0.1,4.0,0.03560992839036475,627,2.2024514176973794e-13,5.715612139199408e-14,171,3.791863664082367e-13,-30.49298989943481,false
slow_fit_trial,5.011872336272715e15,0.1,100.0,0.8902482097591189,437,2.7678069443901995e-13,1.7391206341268547e-29,133,7.336636139120576e-13,-66.22158809403548,true
