case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
Battaglia12,1.0e12,5.0,2371.373705661655,0.09272465248038995,247,7.538038945953187e-13,7.982012743202413e-28,95,2.538905361652529e-12,-62.3951920007156,true
Battaglia12,1.0e12,5.0,3162.2776601683795,0.12365031137249614,247,8.166225299834329e-14,1.0860059131098537e-28,95,2.1052943698967718e-11,-64.38987593748384,true
Battaglia12,1.0e12,5.0,4216.965034285822,0.164890340308892,247,1.1756584866008297e-13,1.4770532519315096e-29,95,1.2409168119275761e-11,-66.38491863981054,true
Battaglia12,1.0e12,5.0,5623.413251903491,0.21988480275861155,209,1.0620308329283507e-13,2.0083677501206885e-30,95,4.719296821463483e-12,-68.38023046227005,true
Battaglia12,1.0e12,5.0,7498.942093324558,0.29322109708561367,209,1.5351171675295629e-13,2.7302515189818906e-31,95,1.2244681967729187e-12,-70.3757441463672,true
Battaglia12,1.0e12,5.0,10000.0,0.39101661732610865,171,3.983009862966645e-13,3.711045794068991e-32,95,3.754166561169106e-13,-72.3714092537185,true
Battaglia12,1.0e12,5.0,13335.21432163324,0.5214290395363708,171,1.1075612963219546e-13,5.043599352404218e-33,95,2.5328379908471075e-13,-74.3671880843861,true
Battaglia12,1.0e12,5.0,17782.794100389227,0.6953367995740877,171,8.258680895737025e-14,6.8540509625673794e-34,95,2.079923432362229e-14,-76.36305330292379,true
Battaglia12,1.0e12,5.0,23713.737056616552,0.9272465248038996,133,4.73080173463003e-14,9.313710288752526e-35,57,1.863045577538371e-11,-78.35899071563762,true
Battaglia12,1.0e12,5.0,31622.776601683792,1.2365031137249614,133,8.564197606791739e-14,1.265477061749129e-35,57,8.154640336496028e-12,-80.35502907979311,true
Battaglia12,1.0e12,5.0,42169.65034285822,1.6489034030889198,95,1.6622393494114202e-13,1.7188482932329266e-36,57,6.656658562986901e-13,-82.35140887819806,true
Battaglia12,1.0e12,5.0,56234.13251903491,2.1988480275861155,95,1.1798705483932082e-14,2.3310798759041506e-37,57,1.267401717083913e-14,-84.34931681451603,true
Battaglia12,1.0e12,5.0,74989.42093324558,2.932210970856137,57,7.966394230295718e-13,3.142864961912583e-38,19,8.857837632586033e-12,-86.35309874159255,true
Battaglia12,1.0e12,5.0,100000.0,3.910166173261086,57,3.1192346459313997e-15,4.166445644488669e-39,19,3.669814456808821e-12,-88.37375531785732,true
Battaglia12,1.0e12,5.0,133352.1432163324,5.214290395363707,57,3.0693306393644277e-16,5.337211207601626e-40,19,3.323490015053106e-14,-90.42870044897504,true
Battaglia12,1.0e12,5.0,177827.94100389228,6.953367995740877,19,5.2228512616273195e-14,6.508314140182787e-41,19,1.7895330223665444e-15,-92.53290835471418,true
Battaglia12,1.0e12,5.0,237137.37056616554,9.272465248038996,19,2.265793620930308e-16,7.53123988991326e-42,19,3.232464687969496e-16,-94.68951421747805,true
Battaglia12,1.0e12,5.0,316227.7660168379,12.365031137249613,19,3.837565808444575e-16,8.33743127416446e-43,19,1.5868327778448386e-15,-96.89040383051498,true
Battaglia12,1.0e12,5.0,421696.5034285823,16.4890340308892,19,1.491236754616403e-16,8.939850622015061e-44,19,3.769952961060753e-16,-99.12322521163904,true
Battaglia12,1.0e12,5.0,562341.3251903491,21.988480275861157,19,3.549946603971315e-16,9.388474895238801e-45,19,1.138015465796436e-15,-101.37684632267555,true
Battaglia12,1.0e12,5.0,749894.2093324559,29.32210970856137,19,2.1397759489652977e-16,9.7348347927908e-46,19,4.26035585186353e-16,-103.64320360948345,true
Battaglia12,1.0e12,5.0,1.0e6,39.101661732610864,19,1.299512887807246e-16,1.0018352622839694e-46,19,0.0,-105.91708069747828,true
Battaglia12,1.0e12,5.0,1.333521432163324e6,52.14290395363708,19,0.0,1.0265401259460106e-47,19,3.728766395591683e-16,-108.19530532394785,true
