beta0,P0_lower_all_guards_except_minimum_size,P0_upper
5.204731923720279596e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.212640545021583804e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.220549166322887125e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.228457787624191333e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.236366408925494653e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.244275030226798862e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.252183651528103070e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.260092272829406390e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.268000894130709710e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.275909515432013919e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.283818136733318127e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.291726758034621447e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.299635379335925656e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.307544000637228976e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.315452621938533184e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.323361243239837393e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.331269864541140713e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.339178485842444921e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.347087107143748241e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.354995728445052450e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.362904349746356658e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.370812971047659978e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.378721592348963298e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.386630213650267507e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.394538834951571715e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.402447456252875035e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.410356077554179244e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.418264698855482564e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.426173320156786772e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.434081941458090981e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.441990562759394301e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.449899184060697621e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.457807805362001830e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.465716426663306038e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.473625047964610246e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.481533669265913566e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.489442290567216887e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.497350911868521095e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.505259533169825303e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.513168154471128624e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.521076775772431944e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.528985397073736152e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.536894018375040361e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.544802639676344569e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.552711260977647889e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.560619882278951209e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.568528503580255418e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.576437124881559626e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.584345746182862946e+00,1.000000000000000000e+00,6.000000000000000000e+01
5.592254367484167155e+00,1.000000000000000000e+00,6.000000000000000000e+01
